CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;CNPJ_ADMIN;ADMIN;CONDOM;FUNDO_EXCLUSIVO;COTST_INTERESSE;TAB_I_VL_ATIVO;TAB_I1_VL_DISP;TAB_I2_VL_CARTEIRA;TAB_I2A_VL_DIRCRED_RISCO;TAB_I2A1_VL_CRED_VENC_AD;TAB_I2A2_VL_CRED_VENC_INAD;TAB_I2A21_VL_TOTAL_PARCELA_INAD;TAB_I2A3_VL_CRED_INAD;TAB_I2A4_VL_CRED_DIRCRED_PERFM;TAB_I2A5_VL_CRED_VENCIDO_PENDENTE;TAB_I2A6_VL_CRED_EMP_RECUP;TAB_I2A7_VL_CRED_RECEITA_PUBLICA;TAB_I2A8_VL_CRED_ACAO_JUDIC;TAB_I2A9_VL_CRED_FATOR_RISCO;TAB_I2A10_VL_CRED_DIVERSO;TAB_I2A11_VL_REDUCAO_RECUP;TAB_I2B_VL_DIRCRED_SEM_RISCO;TAB_I2B1_CPF_CNPJ_CEDENTE_1;TAB_I2B1_PR_CEDENTE_1;TAB_I2B1_CPF_CNPJ_CEDENTE_2;TAB_I2B1_PR_CEDENTE_2;TAB_I2B1_CPF_CNPJ_CEDENTE_3;TAB_I2B1_PR_CEDENTE_3;TAB_I2B1_CPF_CNPJ_CEDENTE_4;TAB_I2B1_PR_CEDENTE_4;TAB_I2B1_CPF_CNPJ_CEDENTE_5;TAB_I2B1_PR_CEDENTE_5;TAB_I2B1_CPF_CNPJ_CEDENTE_6;TAB_I2B1_PR_CEDENTE_6;TAB_I2B1_CPF_CNPJ_CEDENTE_7;TAB_I2B1_PR_CEDENTE_7;TAB_I2B1_CPF_CNPJ_CEDENTE_8;TAB_I2B1_PR_CEDENTE_8;TAB_I2B1_CPF_CNPJ_CEDENTE_9;TAB_I2B1_PR_CEDENTE_9;TAB_I2C_VL_VLMOB;TAB_I2C1_VL_DEBENTURE;TAB_I2C2_VL_CRI;TAB_I2C3_VL_NP_COMERC;TAB_I2C4_VL_LETRA_FINANC;TAB_I2C5_VL_COTA_FUNDO_ICVM555;TAB_I2C6_VL_OUTRO;TAB_I2D_VL_TITPUB_FED;TAB_I2E_VL_CDB;TAB_I2F_VL_OPER_COMPROM;TAB_I2G_VL_OUTRO_RF;TAB_I2H_VL_COTA_FIDC;TAB_I2I_VL_COTA_FIDC_NP;TAB_I2J_VL_CONTRATO_FUTURO;TAB_I3_VL_POSICAO_DERIV;TAB_I3A_VL_MERCADO_TERMO;TAB_I3B_VL_MERCADO_OPCAO;TAB_I3C_VL_MERCADO_FUTURO;TAB_I3D_VL_DIFER_SWAP;TAB_I3E_VL_COBERTURA;TAB_I3F_VL_DEPOSITO_MARGEM;TAB_I4_VL_OUTRO_ATIVO;TAB_I4A_VL_CPRAZO;TAB_I4B_VL_LPRAZO
13.598.246/0001-59;DUAS RODAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO;2019-03-31;12.063.256/0001-27;MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;FECHADO;N;N;60350744.38;546851.32;57425678.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;50377608.85;1928075000108;12.82;24314635000121;12.62;5847800000166;10.72;;;;;;;;;;;;;7048069.92;0.00;0.00;0.00;0.00;7048069.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2378214.29;2378214.29;0.00
13.606.266/0001-24;TERRAS RARAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL NP;2019-03-31;62.232.889/0001-90;BANCO DAYCOVAL S.A.;FECHADO;N;N;56196621.11;3548.45;56165582.10;2604908.84;372502.28;0.00;0.00;9203566.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6971160.04;0.00;;;;;;;;;;;;;;;;;;;37750937.93;7317610.38;0.00;0.00;0.00;30433327.55;0.00;0.00;0.00;0.00;15809735.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27490.56;27490.56;0.00
13.627.475/0001-54;CREDIX FIDC I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2019-03-31;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FECHADO;N;S;1344885.95;0.00;1338529.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;40421406000162;86.94;30383327000150;53.05;14216902000174;37.25;12332456000138;34.67;69281707000110;34.64;58503186000181;33.26;49808421000132;28.71;641416000199;21.81;3360130000123;21.45;1095607.55;0.00;0.00;0.00;0.00;1095607.55;0.00;242922.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6356.16;6356.16;0.00
13.633.964/0001-19;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL INVEST DUNAS LP;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;S;37607998.02;8571.66;249988.66;0.00;714870.26;1074832.23;355401.39;49030.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1838732.49;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;79646.64;0.00;170342.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;37349437.70;37349437.70;0.00
13.649.789/0001-58;OSHER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2019-03-31;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FECHADO;N;N;106397768.94;0.00;106397768.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;106397768.94;0.00;0.00;0.00;0.00;106397768.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13.670.255/0001-03;G&G FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;23015571.09;4449.23;23011121.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11548239.37;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1880759.17;0.00;9582123.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13.711.061/0001-09;4SSETS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2019-03-31;67.030.395/0001-46;PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;FECHADO;N;S;1103029.84;3029.87;1099999.97;1099999.97;0.00;0.00;0.00;1099999.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13.733.804/0001-41;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MIT;2019-03-31;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;ABERTO;N;N;314843264.72;1000.00;314839464.15;218720416.29;218706111.95;0.00;0.00;14304.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0;;0;;0;;0;;0;;0;;0;;0;;87997721.21;0.00;0.00;0.00;0.00;87997721.21;0.00;8121326.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2800.57;2800.57;0.00
13.762.574/0001-49;SIGULER GUFF (JUS BLC) 2A FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2019-03-31;05.389.174/0001-01;MODAL  D.T.V.M. LTDA;FECHADO;S;S;8301042.12;5820.74;8295039.50;8223781.89;0.00;0.00;0.00;0.00;8223781.89;0.00;0.00;0.00;8223781.89;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;31157.67;0.00;0.00;0.00;0.00;31157.67;0.00;40099.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;181.88;181.88;0.00
13.764.696/0001-74;JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2019-03-31;05.389.174/0001-01;MODAL  D.T.V.M. LTDA;FECHADO;N;N;18555969.15;0.00;18555969.15;7660377.37;7660377.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0;;0;;0;;0;;0;;0;;0;;0;;10895591.78;0.00;0.00;0.00;0.00;10895591.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13.767.420/0001-40;FUNDO DE INVESTIMENTO EM DIREITOS CREDI VAREJO BR;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;45869139.74;7741.57;45855222.48;44803110.01;30567555.73;33568722.96;12672512.68;11395296.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30728465.58;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1052112.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6175.69;6169.95;5.74
13.776.087/0001-35;V4 FIDC NP - AÇÕES JUDICIAIS;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;288799133.76;2860.83;2394808.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2394808.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;286401464.53;0.00;286401464.53
13.805.152/0001-03;PUMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS MULTISSETORIAL;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;66044242.63;2980.16;65526358.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;56244615.41;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9281743.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;514903.79;514903.63;0.16
13.807.406/0001-22;BENVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;S;9282677.23;8423.80;9180331.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7542796.61;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;1091668.16;0.00;0.00;0.00;0.00;1091668.16;0.00;104981.90;0.00;440885.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;93921.53;93921.53;0.00
13.842.701/0001-10;NEW TRADE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO MULTISSETORIAL;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;78556589.82;199204.07;70389682.45;66965965.44;46809442.87;35786351.12;16933569.46;3254863.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18884691.76;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;3235794.08;0.00;0.00;0.00;0.00;3235794.08;0.00;187922.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7967703.30;7967703.22;0.08
13.895.002/0001-38;POLICARD II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2019-03-31;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;FECHADO;N;N;66864773.06;5516.25;66747074.56;57818630.69;60972726.73;0.00;0.00;17103162.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20257258.20;0.00;;;;;;;;;;;;;;;;;;;8928443.87;0.00;0.00;0.00;0.00;8928443.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;112182.25;112182.25;0.00
13.963.676/0001-22;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS HOPE;2019-03-31;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FECHADO;N;S;22801323.22;89457.17;22118434.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19833647.26;1182125000223;11.13;;;;;;;;;;;;;;;;;1500000.00;0.00;0.00;0.00;0.00;1500000.00;0.00;175222.60;0.00;609564.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;593431.38;593431.38;0.00
13.974.813/0001-24;G5 BRJUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;S;S;3738140.88;3000.00;158582.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;118513.00;0.00;0.00;0.00;0.00;118513.00;0.00;40069.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3576557.95;550656.44;3025901.51
13.990.000/0001-28;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ITÁLIA;2019-03-31;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;FECHADO;N;S;2101367.76;1994.04;1992624.61;0.00;0.00;312438595.81;307618889.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;312438595.81;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;1491136.56;0.00;0.00;0.00;0.00;1491136.56;0.00;501488.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;106749.11;0.00;106749.11
14.017.322/0001-58;JGP CANVAS CRÉDITO FEEDER I FIC FIDC-NP MULTICARTEIRA;2019-03-31;02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;FECHADO;N;N;15787657.06;7176.28;15780480.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;220527.53;0.00;0.00;0.00;0.00;15559953.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14.017.351/0001-10;JGP CANVAS DISTRESSED FIC DE FI EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTICARTEIRA;2019-03-31;02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;FECHADO;N;N;41543041.71;11956.09;41531085.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;130286.94;0.00;0.00;0.00;0.00;41400798.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14.038.410/0001-36;G5 MIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;ABERTO;N;N;16169797.56;4928.44;16164869.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6594540.82;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;9570328.29;0.00;0.00;0.00;0.00;9570328.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01
14.042.458/0001-18;FEDERAL 4870 IAA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;S;S;110379866.48;100079.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;110279787.03;0.00;110279787.03
14.045.574/0001-90;BRASIL OLEO E GAS EXCLUSIVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2019-03-31;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;FECHADO;N;N;816879424.69;488.26;816479644.87;815978344.75;815978344.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;160292.40;0.00;0.00;0.00;0.00;160292.40;0.00;341007.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;399291.56;399291.56;0.00
14.051.028/0001-62;FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS DA INDÚSTRIA EXODUS INSTITUCIONAL;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;ABERTO;S;N;1306163453.84;10796.40;1286965978.13;39448.14;22918.41;14109.68;1659.29;2749.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;329.44;1002409841.83;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;149615453.35;0.00;0.00;0.00;0.00;149615453.35;0.00;1193568.49;0.00;114484846.39;19222819.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19186679.31;19186679.31;0.00
14.076.720/0001-45;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VID INDÚSTRIA;2019-03-31;62.418.140/0001-31;INTRAG DTVM LTDA.;ABERTO;N;N;154392215.36;9999.54;154364025.13;143296713.48;140948300.70;0.00;0.00;4654819.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2306406.85;0.00;;;;;;;;;;;;;;;;;;;4823193.07;0.00;0.00;0.00;0.00;4823193.07;0.00;6244118.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18190.69;18190.69;0.00
14.109.346/0001-37;FIDC MULTISEGMENTOS NPL IPANEMA II - NÃO PADRONIZADO;2019-03-31;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;FECHADO;N;S;26624867.80;2000.00;26449021.26;24402051.58;0.00;0.00;0.00;0.00;0.00;50332051.58;0.00;0.00;0.00;0.00;0.00;25930000.00;0.00;;;;;;;;;;;;;;;;;;;1645811.89;0.00;0.00;0.00;0.00;1645811.89;0.00;401157.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;173846.54;101060.52;72786.02
14.115.142/0001-09;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS G5 CROMO I;2019-03-31;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;FECHADO;N;N;339839455.66;0.00;339827278.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;222874765.17;87733015.06;0.00;9047105.28;64259781.86;59689253.06;2145609.91;33351423.55;0.00;3001.46;0.00;83598088.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12177.30;12177.30;0.00
14.126.377/0001-04;CROMO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2019-03-31;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;ABERTO;N;N;83140776.04;0.00;83121374.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;58238441.30;13305752.45;0.00;0.00;36232891.42;8656157.43;43640.00;24864016.64;0.00;0.00;0.00;18916.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19401.31;19401.31;0.00
14.132.177/0001-56;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP RED H;2019-03-31;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;FECHADO;N;N;317395499.46;2122.87;317393376.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;317393376.59;0.00;0.00;0.00;0.00;317393376.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14.138.802/0001-77;SG IV LOCAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2019-03-31;05.389.174/0001-01;MODAL  D.T.V.M. LTDA;FECHADO;N;S;86232180.90;5420.42;86226186.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;3337296.00;0.00;0.00;0.00;0.00;3337296.00;0.00;0.00;0.00;0.00;0.00;0.00;82888890.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;574.44;574.44;0.00
14.166.140/0001-49;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SIFRA STAR;2019-03-31;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;ABERTO;N;N;546844831.42;846311.58;539863971.13;31992699.43;31034015.06;0.00;0.00;1874556.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;915872.31;465242744.57;;;;;;;;;;;;;;;;;;;38343248.45;0.00;0.00;0.00;0.00;38343248.45;0.00;4285278.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6134548.71;6134548.71;0.00
14.180.196/0001-58;JC DIVERSIFICADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;442507554.31;1.28;539944.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;539944.44;0.00;0.00;0.00;0.00;539944.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;441967608.59;0.00;441967608.59
14.239.052/0001-20;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - BRAZIL PLUS;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;17658524.17;9398.66;292304.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;280563.33;0.00;11741.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17356820.75;17356820.75;0.00
14.283.986/0001-69;FRAM CAPITAL ATIVO FIDC;2019-03-31;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;ABERTO;N;N;41317499.76;6526.38;40510499.53;80447.47;0.00;80448.07;489.68;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.63;39901169.80;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27876.32;0.00;501005.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;800473.85;800472.90;0.95
14.330.038/0001-37;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS F ACB - FINANCEIRO;2019-03-31;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;ABERTO;N;N;802044085.96;0.00;801629721.14;800651965.71;1537898.18;1028275936.21;874585492.11;560845634.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;790007502.77;0.00;;0.00;0;;0;;0;;0;;0;;0;;0;;0;;977755.43;0.00;0.00;0.00;0.00;977755.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;414364.82;414364.82;0.00
14.351.508/0001-49;JGP CANVAS STRESSED FI EM COTAS DE FUNDO DE INVEST. EM DIREITOS CRED. NP MULTICARTEIRA;2019-03-31;02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;FECHADO;N;N;32455774.98;8545.52;32447229.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;50106.67;0.00;0.00;0.00;0.00;32397122.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
